token	corpus size	all contexts size	frequency	co-frequency	specificity
durum,	19737	16241	9	9	0.76
uygun	19737	16241	9	9	0.76
Düzenli	19737	16241	9	9	0.76
genel	19737	16241	9	9	0.76
Aşırı	19737	16241	9	9	0.76
siyah	19737	16241	9	9	0.76
el	19737	16241	9	9	0.76
yıl	19737	16241	15	14	0.76
sağlığını	19737	16241	15	14	0.76
yetersizliğine	19737	16241	15	14	0.76
nasıl	19737	16241	25	22	0.76
arka	19737	16241	25	22	0.76
vektör	19737	16241	33	28	0.75
krizinin	19737	16241	20	18	0.75
Eğer	19737	16241	20	18	0.75
meydana	19737	16241	24	21	0.73
yaşam	19737	16241	30	25	0.72
kişi	19737	16241	19	17	0.71
Kardiyoloji	19737	16241	19	17	0.71
kalbin	19737	16241	27	23	0.71
ilk	19737	16241	14	13	0.71
sağ	19737	16241	14	13	0.71
kapak	19737	16241	14	13	0.71
bozukluğu	19737	16241	14	13	0.71
and	19737	16241	14	13	0.71
yetersizliğinin	19737	16241	14	13	0.71
anlamı	19737	16241	14	13	0.71
stres	19737	16241	8	8	0.68
yanı	19737	16241	8	8	0.68
zemin	19737	16241	8	8	0.68
belirtiler	19737	16241	8	8	0.68
krizinden	19737	16241	8	8	0.68
yapay	19737	16241	8	8	0.68
2.	19737	16241	8	8	0.68
kat	19737	16241	8	8	0.68
çarpıntısının	19737	16241	8	8	0.68
gerekebilir.	19737	16241	8	8	0.68
doku	19737	16241	8	8	0.68
yönelik	19737	16241	8	8	0.68
Türk	19737	16241	8	8	0.68
for	19737	16241	8	8	0.68
çocuksu	19737	16241	8	8	0.68
web	19737	16241	8	8	0.68
emoji	19737	16241	8	8	0.68
işareti.	19737	16241	8	8	0.68
Akut	19737	16241	8	8	0.68
öyküsü	19737	16241	8	8	0.68
Fiziksel	19737	16241	8	8	0.68
atış	19737	16241	8	8	0.68
sürekli	19737	16241	8	8	0.68
hızını	19737	16241	8	8	0.68
yetersizliğini	19737	16241	8	8	0.68
demek,	19737	16241	8	8	0.68
emojisi,	19737	16241	8	8	0.68
SHAPE	19737	16241	22	19	0.68
beyaz	19737	16241	22	19	0.68
bazı	19737	16241	24	20	0.67
krizi,	19737	16241	18	16	0.67
plan	19737	16241	18	16	0.67
zaman	19737	16241	23	19	0.67
nedenleri	19737	16241	13	12	0.65
artırabilir.	19737	16241	13	12	0.65
açabilir.	19737	16241	13	12	0.65
artırır.	19737	16241	13	12	0.65
olumsuz	19737	16241	13	12	0.65
önemlidir.	19737	16241	13	12	0.65
kullanılan	19737	16241	13	12	0.65
farklı	19737	16241	20	17	0.64
arter	19737	16241	19	16	0.62
yapılan	19737	16241	18	15	0.61
kolesterol	19737	16241	18	15	0.61
durumlarda	19737	16241	18	15	0.61
yeterli	19737	16241	18	15	0.61
uzun	19737	16241	18	15	0.61
konusunda	19737	16241	16	14	0.61
görülen	19737	16241	16	14	0.61
ritim	19737	16241	17	14	0.61
düzenli	19737	16241	17	14	0.61
hızlı	19737	16241	17	14	0.61
sağlıklı	19737	16241	16	13	0.61
bulunan	19737	16241	16	13	0.61
konusu	19737	16241	16	13	0.61
set	19737	16241	16	13	0.61
zamanda	19737	16241	16	13	0.61
eder.	19737	16241	12	11	0.60
Koroner	19737	16241	12	11	0.60
Ancak,	19737	16241	12	11	0.60
başka	19737	16241	12	11	0.60
nedenle	19737	16241	12	11	0.60
baş	19737	16241	12	11	0.60
icons	19737	16241	12	11	0.60
duygusal	19737	16241	7	7	0.59
hasara	19737	16241	7	7	0.59
şiddetli	19737	16241	7	7	0.59
hastalıklar	19737	16241	7	7	0.59
faktörler	19737	16241	7	7	0.59
olmayan	19737	16241	7	7	0.59
hastalığına	19737	16241	7	7	0.59
mevcut	19737	16241	7	7	0.59
yaşayan	19737	16241	7	7	0.59
yüksektir.	19737	16241	7	7	0.59
sağlığına	19737	16241	7	7	0.59
hikayesi	19737	16241	7	7	0.59
içerisinde	19737	16241	7	7	0.59
korunma	19737	16241	7	7	0.59
genetik	19737	16241	7	7	0.59
Örneğin,	19737	16241	7	7	0.59
elektriksel	19737	16241	7	7	0.59
seviyelerinin	19737	16241	7	7	0.59
şok	19737	16241	7	7	0.59
dönmesi,	19737	16241	7	7	0.59
ağrı	19737	16241	7	7	0.59
alt	19737	16241	7	7	0.59
day	19737	16241	7	7	0.59
çizim	19737	16241	7	7	0.59
doktor	19737	16241	7	7	0.59
pembe	19737	16241	7	7	0.59
(kalp	19737	16241	7	7	0.59
hastada	19737	16241	7	7	0.59
fiziksel	19737	16241	15	13	0.58
kırık	19737	16241	15	13	0.58
hastanın	19737	16241	15	13	0.58
aşk	19737	16241	15	13	0.58
tansiyon	19737	16241	14	12	0.56
Sağlıklı	19737	16241	14	12	0.56
gün	19737	16241	14	12	0.56
alınması	19737	16241	11	10	0.56
kişilerde	19737	16241	11	10	0.56
ilişkin	19737	16241	11	10	0.56
sebep	19737	16241	11	10	0.56
Her	19737	16241	11	10	0.56
hastaneye	19737	16241	11	10	0.56
Yüksek	19737	16241	11	10	0.56
0	19737	16241	11	10	0.56
gelişen	19737	16241	11	10	0.56
doodle	19737	16241	11	10	0.56
düz	19737	16241	11	10	0.56
Sigara	19737	16241	11	10	0.56
alkol	19737	16241	11	10	0.56
Pembe	19737	16241	11	10	0.56
ancak	19737	16241	13	11	0.54
gereken	19737	16241	13	11	0.54
ilaçlar	19737	16241	13	11	0.54
red	19737	16241	13	11	0.54
ritm	19737	16241	13	11	0.54
son	19737	16241	12	10	0.53
herhangi	19737	16241	12	10	0.53
Ayrıca	19737	16241	12	10	0.53
vücut	19737	16241	12	10	0.53
temel	19737	16241	11	9	0.52
beslenme	19737	16241	11	9	0.52
gelir.	19737	16241	11	9	0.52
üzere	19737	16241	11	9	0.52
kişinin	19737	16241	11	9	0.52
kalıcı	19737	16241	10	9	0.51
yeni	19737	16241	10	9	0.51
Ayrıca,	19737	16241	10	9	0.51
aşırı	19737	16241	10	9	0.51
birçok	19737	16241	10	9	0.51
kabul	19737	16241	10	9	0.51
tedavisinde	19737	16241	10	9	0.51
ağrısı	19737	16241	10	9	0.51
hastalarda	19737	16241	10	9	0.51
alır.	19737	16241	10	9	0.51
yetersizliğinde	19737	16241	10	9	0.51
durumun	19737	16241	6	6	0.51
gerekmektedir.	19737	16241	6	6	0.51
açan	19737	16241	6	6	0.51
mi?	19737	16241	6	6	0.51
olmadığı	19737	16241	6	6	0.51
testleri	19737	16241	6	6	0.51
hastalıklarını	19737	16241	6	6	0.51
olup	19737	16241	6	6	0.51
olanlar	19737	16241	6	6	0.51
kadınlarda	19737	16241	6	6	0.51
gösteren	19737	16241	6	6	0.51
sıklıkla	19737	16241	6	6	0.51
özel	19737	16241	6	6	0.51
durumda	19737	16241	6	6	0.51
Diğer	19737	16241	6	6	0.51
gelebilir.	19737	16241	6	6	0.51
boyunca	19737	16241	6	6	0.51
dair	19737	16241	6	6	0.51
hastalıklarından	19737	16241	6	6	0.51
kullanılır.	19737	16241	6	6	0.51
ritminin	19737	16241	6	6	0.51
edilir.	19737	16241	6	6	0.51
cerrahi	19737	16241	6	6	0.51
Aynı	19737	16241	6	6	0.51
Stres,	19737	16241	6	6	0.51
kadın	19737	16241	6	6	0.51
akışını	19737	16241	6	6	0.51
İleri	19737	16241	6	6	0.51
fonksiyonlarının	19737	16241	6	6	0.51
anlamlı	19737	16241	6	6	0.51
teşhisi	19737	16241	6	6	0.51
hastalarında	19737	16241	6	6	0.51
geçiren	19737	16241	6	6	0.51
seni	19737	16241	6	6	0.51
flat	19737	16241	6	6	0.51
icons.	19737	16241	6	6	0.51
valentine	19737	16241	6	6	0.51
cute	19737	16241	6	6	0.51
illustration.	19737	16241	6	6	0.51
EKG	19737	16241	6	6	0.51
icon.	19737	16241	6	6	0.51
simge	19737	16241	6	6	0.51
tasarım	19737	16241	6	6	0.51
ölüme	19737	16241	6	6	0.51
darlığı,	19737	16241	6	6	0.51
işaret	19737	16241	6	6	0.51
etki	19737	16241	6	6	0.51
aktivite	19737	16241	6	6	0.51
maddelerin	19737	16241	6	6	0.51
operasyon	19737	16241	6	6	0.51
artar.	19737	16241	6	6	0.51
uyku	19737	16241	6	6	0.51
basıncını	19737	16241	6	6	0.51
edebilir.	19737	16241	6	6	0.51
fark	19737	16241	6	6	0.51
kişilerin	19737	16241	9	8	0.47
beyin	19737	16241	9	8	0.47
Merkezi	19737	16241	9	8	0.47
kişiler	19737	16241	9	8	0.47
vardır.	19737	16241	9	8	0.47
belirgin	19737	16241	9	8	0.47
miktarda	19737	16241	9	8	0.47
tehdit	19737	16241	9	8	0.47
Bir	19737	16241	9	8	0.47
damarların	19737	16241	9	8	0.47
darlığı	19737	16241	9	8	0.47
biri	19737	16241	9	8	0.47
olması	19737	16241	9	8	0.47
gösterebilir.	19737	16241	9	8	0.47
üzerindeki	19737	16241	9	8	0.47
döneminde	19737	16241	9	8	0.47
set.	19737	16241	9	8	0.47
2	19737	16241	9	8	0.47
klinik	19737	16241	9	8	0.47
azaltmak	19737	16241	8	7	0.44
yaklaşık	19737	16241	8	7	0.44
hasar	19737	16241	8	7	0.44
neredeyse	19737	16241	8	7	0.44
geçen	19737	16241	8	7	0.44
özen	19737	16241	8	7	0.44
etkileri	19737	16241	8	7	0.44
Türkiye’de	19737	16241	8	7	0.44
hemen	19737	16241	8	7	0.44
sevgililer	19737	16241	8	7	0.44
stres,	19737	16241	8	7	0.44
düzensiz	19737	16241	8	7	0.44
tamamen	19737	16241	8	7	0.44
yan	19737	16241	8	7	0.44
varsa	19737	16241	8	7	0.44
alımı	19737	16241	8	7	0.44
durumları	19737	16241	5	5	0.42
tetikleyebilir.	19737	16241	5	5	0.42
geçirmeden	19737	16241	5	5	0.42
görüntüleme	19737	16241	5	5	0.42
dolaşım	19737	16241	5	5	0.42
sistemi	19737	16241	5	5	0.42
olabildiğince	19737	16241	5	5	0.42
sorumlu	19737	16241	5	5	0.42
yani	19737	16241	5	5	0.42
kalsiyum	19737	16241	5	5	0.42
etkiler.	19737	16241	5	5	0.42
Kadınlarda	19737	16241	5	5	0.42
Hastalıkları	19737	16241	5	5	0.42
uzmanları	19737	16241	5	5	0.42
yumurta	19737	16241	5	5	0.42
artıran	19737	16241	5	5	0.42
uzman	19737	16241	5	5	0.42
eğer	19737	16241	5	5	0.42
öksürük	19737	16241	5	5	0.42
durumu	19737	16241	5	5	0.42
varsa,	19737	16241	5	5	0.42
ince	19737	16241	5	5	0.42
Preiss	19737	16241	5	5	0.42
Bununla	19737	16241	5	5	0.42
açık	19737	16241	5	5	0.42
ameliyatı	19737	16241	5	5	0.42
10	19737	16241	5	5	0.42
hastalıklarında	19737	16241	5	5	0.42
dolayı	19737	16241	5	5	0.42
bilinir.	19737	16241	5	5	0.42
belirti	19737	16241	5	5	0.42
bazen	19737	16241	5	5	0.42
sizin	19737	16241	5	5	0.42
yetmezliği,	19737	16241	5	5	0.42
darlığında	19737	16241	5	5	0.42
anjiyopoietin-1	19737	16241	5	5	0.42
seviyesinin	19737	16241	5	5	0.42
Anj-1	19737	16241	5	5	0.42
Arolat’ın	19737	16241	5	5	0.42
diyetlerin	19737	16241	5	5	0.42
hızının	19737	16241	5	5	0.42
COVID-19	19737	16241	5	5	0.42
pandemi	19737	16241	5	5	0.42
dönemde	19737	16241	5	5	0.42
esnasında	19737	16241	5	5	0.42
şeklinde	19737	16241	5	5	0.42
cerrahisi	19737	16241	5	5	0.42
geldiği	19737	16241	5	5	0.42
valentines	19737	16241	5	5	0.42
ayarlayın.	19737	16241	5	5	0.42
planda	19737	16241	5	5	0.42
sosyal	19737	16241	5	5	0.42
kaligrafi	19737	16241	5	5	0.42
illüstrasyon	19737	16241	5	5	0.42
seti	19737	16241	5	5	0.42
çizgisi	19737	16241	5	5	0.42
etkisi	19737	16241	5	5	0.42
enerji	19737	16241	5	5	0.42
müdahale	19737	16241	5	5	0.42
hissedilebilir.	19737	16241	5	5	0.42
çarpıntı	19737	16241	5	5	0.42
çeşitleri	19737	16241	5	5	0.42
uzak	19737	16241	5	5	0.42
zamanla	19737	16241	5	5	0.42
teşhis	19737	16241	5	5	0.42
hatta	19737	16241	5	5	0.42
görülebilir.	19737	16241	5	5	0.42
atım	19737	16241	5	5	0.42
Genellikle	19737	16241	5	5	0.42
ölümcül	19737	16241	5	5	0.42
evre	19737	16241	5	5	0.42
sağlığınızı	19737	16241	5	5	0.42
Nefes	19737	16241	5	5	0.42
sistemleri	19737	16241	5	5	0.42
olguların	19737	16241	5	5	0.42
sonucunda	19737	16241	7	6	0.41
riske	19737	16241	7	6	0.41
yakın	19737	16241	7	6	0.41
önem	19737	16241	7	6	0.41
şeker	19737	16241	7	6	0.41
ana	19737	16241	7	6	0.41
damarları	19737	16241	7	6	0.41
tıkanma	19737	16241	7	6	0.41
dışında	19737	16241	7	6	0.41
normal	19737	16241	7	6	0.41
sağlar.	19737	16241	7	6	0.41
damarlarında	19737	16241	7	6	0.41
hayatı	19737	16241	7	6	0.41
saat	19737	16241	7	6	0.41
sözleri	19737	16241	7	6	0.41
atışı	19737	16241	7	6	0.41
romantic	19737	16241	7	6	0.41
3d	19737	16241	7	6	0.41
vücutta	19737	16241	7	6	0.41
düzeyde	19737	16241	7	6	0.41
durumdur.	19737	16241	7	6	0.41
hastalığın	19737	16241	7	6	0.41
bekleme	19737	16241	7	6	0.41
geçici	19737	16241	6	5	0.40
neler	19737	16241	6	5	0.40
hastalığının	19737	16241	6	5	0.40
oranda	19737	16241	6	5	0.40
damarlarda	19737	16241	6	5	0.40
ihtiyaç	19737	16241	6	5	0.40
damarı	19737	16241	6	5	0.40
kalbi	19737	16241	6	5	0.40
ilaçlar,	19737	16241	6	5	0.40
hafif	19737	16241	6	5	0.40
diyabet	19737	16241	6	5	0.40
belli	19737	16241	6	5	0.40
pek	19737	16241	6	5	0.40
beraber	19737	16241	6	5	0.40
bin	19737	16241	6	5	0.40
kasına	19737	16241	6	5	0.40
Bunların	19737	16241	6	5	0.40
hissi	19737	16241	6	5	0.40
takip	19737	16241	6	5	0.40
Mitral	19737	16241	6	5	0.40
ilişki	19737	16241	6	5	0.40
hayatını	19737	16241	6	5	0.40
ağır	19737	16241	6	5	0.40
shapes	19737	16241	6	5	0.40
in	19737	16241	6	5	0.40
yavaş	19737	16241	6	5	0.40
tuz	19737	16241	6	5	0.40
fayda	19737	16241	6	5	0.40
bypass	19737	16241	6	5	0.40
3.	19737	16241	6	5	0.40
olgularda	19737	16241	6	5	0.40
yöntemi	19737	16241	5	4	0.39
giren	19737	16241	5	4	0.39
insanların	19737	16241	5	4	0.39
koruyucu	19737	16241	5	4	0.39
aniden	19737	16241	5	4	0.39
hayat	19737	16241	5	4	0.39
güzel	19737	16241	5	4	0.39
kaybetmeden	19737	16241	5	4	0.39
ilerleyen	19737	16241	5	4	0.39
20	19737	16241	5	4	0.39
Kalpte	19737	16241	5	4	0.39
Kalbin	19737	16241	5	4	0.39
hastalarının	19737	16241	5	4	0.39
ama	19737	16241	5	4	0.39
kanın	19737	16241	5	4	0.39
diyetler	19737	16241	5	4	0.39
ihmal	19737	16241	5	4	0.39
bireylerde	19737	16241	5	4	0.39
Kalbi	19737	16241	5	4	0.39
Pandemi	19737	16241	5	4	0.39
isolated	19737	16241	5	4	0.39
set,	19737	16241	5	4	0.39
şekeri	19737	16241	5	4	0.39
artışı	19737	16241	5	4	0.39
dönmesi	19737	16241	5	4	0.39
alma	19737	16241	5	4	0.39
faktörü	19737	16241	5	4	0.39
tercih	19737	16241	5	4	0.39
ilişkili	19737	16241	5	4	0.39
takım	19737	16241	5	4	0.39
Stres	19737	16241	5	4	0.39
derin	19737	16241	5	4	0.39
olması,	19737	16241	5	4	0.39
alınan	19737	16241	5	4	0.39
zorunda	19737	16241	5	4	0.39
katkıda	19737	16241	4	4	0.34
programının	19737	16241	4	4	0.34
faydaları	19737	16241	4	4	0.34
Kalsiyum	19737	16241	4	4	0.34
içine	19737	16241	4	4	0.34
söyleyen	19737	16241	4	4	0.34
bireyleri	19737	16241	4	4	0.34
önlemleri	19737	16241	4	4	0.34
bunun	19737	16241	4	4	0.34
olursa	19737	16241	4	4	0.34
vb.)	19737	16241	4	4	0.34
İç	19737	16241	4	4	0.34
tüketimi	19737	16241	4	4	0.34
geçirmiş	19737	16241	4	4	0.34
oranla	19737	16241	4	4	0.34
sıra	19737	16241	4	4	0.34
hipertansiyon	19737	16241	4	4	0.34
bozukluklarının	19737	16241	4	4	0.34
çocuk	19737	16241	4	4	0.34
Dikkat	19737	16241	4	4	0.34
bulantısı,	19737	16241	4	4	0.34
terleme,	19737	16241	4	4	0.34
oranında	19737	16241	4	4	0.34
böyle	19737	16241	4	4	0.34
kalbinize	19737	16241	4	4	0.34
Yeterli	19737	16241	4	4	0.34
faydalıdır.	19737	16241	4	4	0.34
egzersiz,	19737	16241	4	4	0.34
gizli	19737	16241	4	4	0.34
pompalama	19737	16241	4	4	0.34
gösteriyor.	19737	16241	4	4	0.34
ek	19737	16241	4	4	0.34
takdirde,	19737	16241	4	4	0.34
Zira	19737	16241	4	4	0.34
kavramı	19737	16241	4	4	0.34
(aritmi)	19737	16241	4	4	0.34
görülebilen	19737	16241	4	4	0.34
sorunları	19737	16241	4	4	0.34
rol	19737	16241	4	4	0.34
buna	19737	16241	4	4	0.34
hazırlar.	19737	16241	4	4	0.34
kadınların	19737	16241	4	4	0.34
yorgunluk	19737	16241	4	4	0.34
sıra,	19737	16241	4	4	0.34
farklılık	19737	16241	4	4	0.34
takdirde	19737	16241	4	4	0.34
önerilir.	19737	16241	4	4	0.34
Hastanın	19737	16241	4	4	0.34
sağlayan	19737	16241	4	4	0.34
kardiyovasküler	19737	16241	4	4	0.34
riskinizi	19737	16241	4	4	0.34
sağlamak	19737	16241	4	4	0.34
uyarı	19737	16241	4	4	0.34
doppler	19737	16241	4	4	0.34
ilişkisi	19737	16241	4	4	0.34
bozulma	19737	16241	4	4	0.34
seviyeleri	19737	16241	4	4	0.34
gündeme	19737	16241	4	4	0.34
önüne	19737	16241	4	4	0.34
Özlem	19737	16241	4	4	0.34
başvurmak	19737	16241	4	4	0.34
tanısı	19737	16241	4	4	0.34
sırada	19737	16241	4	4	0.34
dakikada	19737	16241	4	4	0.34
yetersizliği,	19737	16241	4	4	0.34
hareketsiz	19737	16241	4	4	0.34
faktörlerinin	19737	16241	4	4	0.34
yardım	19737	16241	4	4	0.34
sağlıksız	19737	16241	4	4	0.34
hareketsizlik	19737	16241	4	4	0.34
faktörlerini	19737	16241	4	4	0.34
başvuran	19737	16241	4	4	0.34
azalma	19737	16241	4	4	0.34
olabilir	19737	16241	4	4	0.34
kötü	19737	16241	4	4	0.34
üst	19737	16241	4	4	0.34
yapar.	19737	16241	4	4	0.34
şekli	19737	16241	4	4	0.34
hand	19737	16241	4	4	0.34
hearts.	19737	16241	4	4	0.34
ekg	19737	16241	4	4	0.34
aşk,	19737	16241	4	4	0.34
koyu	19737	16241	4	4	0.34
çizgi	19737	16241	4	4	0.34
doğrusal	19737	16241	4	4	0.34
realistic	19737	16241	4	4	0.34
hand-drawn	19737	16241	4	4	0.34
day,	19737	16241	4	4	0.34
wedding,	19737	16241	4	4	0.34
drawing	19737	16241	4	4	0.34
design.	19737	16241	4	4	0.34
t-shirt,	19737	16241	4	4	0.34
kartı,	19737	16241	4	4	0.34
symbols.	19737	16241	4	4	0.34
sembolü	19737	16241	4	4	0.34
tebrik	19737	16241	4	4	0.34
düğün	19737	16241	4	4	0.34
tasarımı	19737	16241	4	4	0.34
Beyaz	19737	16241	4	4	0.34
görülme	19737	16241	4	4	0.34
sıklığı	19737	16241	4	4	0.34
yapılacak	19737	16241	4	4	0.34
sorunu	19737	16241	4	4	0.34
alıp	19737	16241	4	4	0.34
adrenalin	19737	16241	4	4	0.34
benzer	19737	16241	4	4	0.34
de,	19737	16241	4	4	0.34
dokusunun	19737	16241	4	4	0.34
krizinde	19737	16241	4	4	0.34
8.	19737	16241	4	4	0.34
şikayetleri	19737	16241	4	4	0.34
9.	19737	16241	4	4	0.34
10.	19737	16241	4	4	0.34
ST	19737	16241	4	4	0.34
STEMI	19737	16241	4	4	0.34
tıkanması	19737	16241	4	4	0.34
Yaş	19737	16241	4	4	0.34
stent	19737	16241	4	4	0.34
hale	19737	16241	4	4	0.34
yetmezliğine	19737	16241	4	4	0.34
ardından	19737	16241	4	4	0.34
gelişebilir.	19737	16241	4	4	0.34
akut	19737	16241	4	4	0.34
birtakım	19737	16241	4	4	0.34
çıkar.	19737	16241	4	4	0.34
verilen	19737	16241	4	4	0.34
Uyku	19737	16241	4	4	0.34
Cemal	19737	16241	4	4	0.34
Süreya	19737	16241	4	4	0.34
İki	19737	16241	4	4	0.34
araştırma,	19737	16241	4	4	0.34
hayatta	19737	16241	4	4	0.34
süreli	19737	16241	4	4	0.34
iş	19737	16241	4	4	0.34
İşte	19737	16241	4	4	0.34
ele	19737	16241	4	4	0.34
5.	19737	16241	4	4	0.34
tiroid	19737	16241	4	4	0.34
azaltmaya	19737	16241	4	4	0.34
çarpıntınız	19737	16241	4	4	0.34
Alkol	19737	16241	4	4	0.34
Yan	19737	16241	4	4	0.34
Dengeli	19737	16241	4	4	0.34
diyet,	19737	16241	4	4	0.34
içmek,	19737	16241	4	4	0.34
giderek	19737	16241	4	4	0.34
pompa	19737	16241	4	4	0.34
performansını	19737	16241	4	4	0.34
duvarları	19737	16241	4	4	0.34
bozuklukları,	19737	16241	4	4	0.34
günlük	19737	16241	4	4	0.34
yükü	19737	16241	4	4	0.34
Fazla	19737	16241	4	4	0.34
şoklama	19737	16241	4	4	0.34
Sarı	19737	16241	4	4	0.34
adı	19737	16241	3	3	0.25
benzerlik	19737	16241	3	3	0.25
Tedavi	19737	16241	3	3	0.25
güçlü	19737	16241	3	3	0.25
bulunabilir.	19737	16241	3	3	0.25
Diyabet,	19737	16241	3	3	0.25
hedefi	19737	16241	3	3	0.25
düşüyor?	19737	16241	3	3	0.25
kirizinden	19737	16241	3	3	0.25
ölümleri	19737	16241	3	3	0.25
azaltabilir	19737	16241	3	3	0.25
kişide	19737	16241	3	3	0.25
çıktığında	19737	16241	3	3	0.25
yapması	19737	16241	3	3	0.25
gerekiyor?	19737	16241	3	3	0.25
yaparsa	19737	16241	3	3	0.25
krisi	19737	16241	3	3	0.25
hayatına	19737	16241	3	3	0.25
edebilir?	19737	16241	3	3	0.25
Evde	19737	16241	3	3	0.25
yüz	19737	16241	3	3	0.25
veriler	19737	16241	3	3	0.25
SHAPE’e	19737	16241	3	3	0.25
geçirebilir	19737	16241	3	3	0.25
değeri	19737	16241	3	3	0.25
Kimler	19737	16241	3	3	0.25
taşıyor?	19737	16241	3	3	0.25
Kardiyovasküler	19737	16241	3	3	0.25
erkeklerden	19737	16241	3	3	0.25
arttıran	19737	16241	3	3	0.25
uzmanları,	19737	16241	3	3	0.25
ihtimallerini	19737	16241	3	3	0.25
diyor.	19737	16241	3	3	0.25
olabiliyor.	19737	16241	3	3	0.25
uygulanması	19737	16241	3	3	0.25
yapılır.	19737	16241	3	3	0.25
bulunur.	19737	16241	3	3	0.25
bulunması,	19737	16241	3	3	0.25
ihtimali	19737	16241	3	3	0.25
damarlardaki	19737	16241	3	3	0.25
yarıya	19737	16241	3	3	0.25
Tüm	19737	16241	3	3	0.25
beyni	19737	16241	3	3	0.25
faktör	19737	16241	3	3	0.25
yanlış	19737	16241	3	3	0.25
yumurtanın	19737	16241	3	3	0.25
6	19737	16241	3	3	0.25
biri,	19737	16241	3	3	0.25
kasında	19737	16241	3	3	0.25
akışı	19737	16241	3	3	0.25
azaltır.	19737	16241	3	3	0.25
Çünkü	19737	16241	3	3	0.25
kötüleştirebilir.	19737	16241	3	3	0.25
